origin,type,censored
https://github.com/microsoft/nlp-recipes,git,1
https://gitlab.com/mike01/pypacker.git,git,1
https://pypi.org/project/psycopg2/,pypi,1
https://github.com/guohongze/adminset,git,0
https://pypi.org/project/google-api-python-client/,pypi,1
https://gitlab.com/pycqa/pydocstyle.git,git,1
https://github.com/flask-restful/flask-restful,git,1
https://github.com/encode/httpx,git,1
https://pypi.org/project/Twisted/,pypi,1
https://github.com/GoogleCloudPlatform/python-docs-samples,git,1
https://gitlab.com/bscipio/pipscript.git,git,0
https://github.com/OpenNMT/OpenNMT-py,git,0
https://pypi.org/project/pytest-cov/,pypi,1
https://github.com/Gerapy/Gerapy,git,1
https://github.com/facebookresearch/detectron2,git,1
https://github.com/crypto101/book,git,1
https://pypi.org/project/google-cloud-spanner/,pypi,1
https://pypi.org/project/simplejson/,pypi,0
https://pypi.org/project/azure-identity/,pypi,1
https://github.com/pytorch/ignite,git,1
https://pypi.org/project/ccxt/,pypi,1
https://github.com/graphql-python/graphene,git,1
https://pypi.org/project/pyzmq/,pypi,1
https://pypi.org/project/hyperlink/,pypi,1
https://github.com/ytdl-org/youtube-dl,git,1
https://github.com/UKPLab/sentence-transformers,git,1
https://github.com/toml-lang/toml,git,1
https://pypi.org/project/notebook/,pypi,1
https://github.com/Dman95/SASM,git,1
https://gitlab.com/oskog97/anonymine.git,git,0
https://pypi.org/project/grpcio/,pypi,1
https://github.com/awslabs/aws-shell,git,1
https://github.com/formspree/formspree,git,0
deb://Debian/packages/asciinema,deb,0
https://pypi.org/project/pytest-xdist/,pypi,1
https://github.com/public-api-lists/public-api-lists,git,1
https://pypi.org/project/instana/,pypi,1
https://github.com/lazyprogrammer/machine_learning_examples,git,1
https://github.com/pallets/flask,git,1
https://github.com/thearn/webcam-pulse-detector,git,0
https://github.com/JonathanSalwan/ROPgadget,git,1
https://pypi.org/project/Telethon/,pypi,1
https://github.com/Gallopsled/pwntools,git,1
https://github.com/mesonbuild/meson,git,1
https://github.com/etianen/django-reversion,git,1
https://github.com/pytest-dev/pytest,git,1
https://github.com/jarun/googler,git,1
https://gitlab.com/pycqa/pycodestyle.git,git,1
https://github.com/ansible/ansible,git,1
https://github.com/thumbor/thumbor,git,1
https://pypi.org/project/SQLAlchemy-Utils/,pypi,1
https://github.com/mps-youtube/mps-youtube,git,1
https://github.com/agronholm/apscheduler,git,1
https://pypi.org/project/gensim/,pypi,0
https://pypi.org/project/dill/,pypi,1
https://github.com/iterative/dvc,git,0
https://github.com/pytorch/captum,git,1
https://github.com/luyishisi/Anti-Anti-Spider,git,1
https://github.com/swisskyrepo/PayloadsAllTheThings,git,0
https://pypi.org/project/arrow/,pypi,1
https://pypi.org/project/azure-mgmt-cosmosdb/,pypi,1
https://pypi.org/project/redis-py-cluster/,pypi,1
https://pypi.org/project/deprecation/,pypi,0
https://github.com/belluzj/fantasque-sans,git,0
https://github.com/python/typeshed,git,1
https://github.com/lancopku/pkuseg-python,git,1
https://github.com/docker/docker-py,git,1
https://github.com/facebookresearch/maskrcnn-benchmark,git,0
https://github.com/google/seq2seq,git,0
https://github.com/scipy-lectures/scipy-lecture-notes,git,1
https://github.com/0xAX/linux-insides,git,1
https://github.com/Netflix/flamescope,git,1
https://github.com/androguard/androguard,git,1
https://pypi.org/project/google-cloud-storage/,pypi,1
https://gitlab.com/Chvarkov/json_serializer.git,git,0
https://github.com/yenchenlin/DeepLearningFlappyBird,git,0
https://github.com/EnableSecurity/wafw00f,git,1
https://pypi.org/project/msgpack-python/,pypi,0
https://github.com/s0md3v/Photon,git,1
https://pypi.org/project/lxml/,pypi,1
https://pypi.org/project/diskcache/,pypi,1
https://github.com/aws/serverless-application-model,git,1
https://github.com/guelfoweb/knock,git,0
https://pypi.org/project/azure-devops/,pypi,1
https://github.com/sympy/sympy,git,1
https://gitlab.com/Snuggle/hypixel.py.git,git,0
https://gitlab.com/mindfulness-at-the-computer/mindfulness-at-the-computer.git,git,0
https://pypi.org/project/fastapi/,pypi,1
https://github.com/awesto/django-shop,git,1
https://github.com/facebookresearch/ParlAI,git,1
https://pypi.org/project/wasabi/,pypi,1
https://github.com/FactoryBoy/factory_boy,git,1
deb://Debian/packages/schroot,deb,1
https://github.com/KevinMusgrave/pytorch-metric-learning,git,1
https://github.com/rossant/awesome-math,git,0
https://pypi.org/project/graphviz/,pypi,1
https://github.com/pyro-ppl/pyro,git,1
https://github.com/lisa-lab/DeepLearningTutorials,git,0
https://pypi.org/project/pypandoc/,pypi,1
https://gitlab.com/asciidoc3/asciidoc3.git,git,1
https://github.com/nccgroup/ScoutSuite,git,1
https://github.com/s3tools/s3cmd,git,1
https://github.com/xinntao/BasicSR,git,0
deb://Debian/packages/python-mistralclient,deb,1
https://github.com/emre/storm,git,0
https://pypi.org/project/Cython/,pypi,1
https://github.com/corna/me_cleaner,git,0
https://github.com/conan-io/conan,git,1
https://github.com/automl/auto-sklearn,git,1
https://github.com/benfred/implicit,git,1
https://gitlab.com/katrino/peaberry.git,git,0
https://gitlab.com/equake/aws-spot-fleet-helper.git,git,0
https://github.com/pytorch/tutorials,git,1
https://github.com/fossasia/open-event-server,git,0
https://github.com/houtianze/bypy,git,1
https://pypi.org/project/JayDeBeApi/,pypi,1
https://github.com/zeromq/pyzmq,git,1
https://github.com/hack4impact/flask-base,git,1
https://pypi.org/project/pytest-metadata/,pypi,0
https://pypi.org/project/jupyter-core/,pypi,1
https://gitlab.com/ldo/python_freetype.git,git,1
https://github.com/paralax/awesome-honeypots,git,0
deb://Debian/packages/python-zake,deb,0
https://github.com/JuanPotato/Legofy,git,0
deb://Debian/packages/goobook,deb,1
https://gitlab.com/librespacefoundation/satnogs/satnogs-db.git,git,1
https://pypi.org/project/boto3/,pypi,1
deb://Debian/packages/tryton-modules-project,deb,1
https://github.com/seatgeek/fuzzywuzzy,git,1
https://github.com/Fewbytes/rubber-docker,git,0
https://github.com/IDSIA/sacred,git,1
https://github.com/kemayo/sublime-text-git,git,0
https://pypi.org/project/pipenv/,pypi,1
https://gitlab.com/pycqa/baron.git,git,1
https://github.com/minimaxir/big-list-of-naughty-strings,git,1
https://pypi.org/project/azure-mgmt-marketplaceordering/,pypi,0
https://github.com/PyQt5/PyQt,git,1
https://github.com/OWASP/CheatSheetSeries,git,1
https://pypi.org/project/pytz/,pypi,1
https://github.com/Urinx/WeixinBot,git,0
https://github.com/openatx/uiautomator2,git,1
deb://Debian/packages/python-jenkins,deb,0
https://pypi.org/project/coverage/,pypi,1
https://gitlab.com/painless-software/painless-continuous-delivery.git,git,1
https://pypi.org/project/matplotlib/,pypi,1
https://gitlab.com/nobodyinperson/simbuto.git,git,0
https://github.com/secdev/scapy,git,1
https://pypi.org/project/imbalanced-learn/,pypi,1
https://pypi.org/project/pyodbc/,pypi,1
https://github.com/google-research/bert,git,1
deb://Debian/packages/electrum,deb,0
https://pypi.org/project/tox/,pypi,1
https://pypi.org/project/docutils/,pypi,1
https://gitlab.com/librespacefoundation/satnogs/satnogs-network.git,git,1
deb://Debian/packages/python-oslo.rootwrap,deb,1
https://github.com/keras-team/autokeras,git,1
https://github.com/jhao104/proxy_pool,git,1
https://github.com/numenta/nupic,git,1
https://github.com/doccano/doccano,git,1
https://github.com/arrow-py/arrow,git,1
https://github.com/Zulko/moviepy,git,1
https://github.com/snare/voltron,git,1
https://github.com/shimohq/chinese-programmer-wrong-pronunciation,git,0
https://github.com/lebinh/ngxtop,git,0
https://pypi.org/project/unittest-xml-reporting/,pypi,1
https://pypi.org/project/jsonschema/,pypi,0
https://pypi.org/project/WTForms/,pypi,1
https://gitlab.com/lambdait/slack-vk-bot.git,git,0
https://pypi.org/project/structlog/,pypi,1
deb://Debian/packages/xcircuit,deb,0
https://pypi.org/project/sympy/,pypi,1
https://pypi.org/project/enum34/,pypi,1
https://pypi.org/project/QtPy/,pypi,0
https://pypi.org/project/pycairo/,pypi,1
https://pypi.org/project/Flask-OpenID/,pypi,0
https://pypi.org/project/freezegun/,pypi,1
deb://Debian/packages/onioncircuits,deb,1
https://pypi.org/project/pkginfo/,pypi,1
https://pypi.org/project/dacite/,pypi,1
https://pypi.org/project/python-keystoneclient/,pypi,1
https://pypi.org/project/tenacity/,pypi,1
https://pypi.org/project/validators/,pypi,1
https://pypi.org/project/azure-mgmt-recoveryservicesbackup/,pypi,1
https://pypi.org/project/ua-parser/,pypi,1
