host_type,censored,duration_months,high_rev_freq,multi_repo,high_author_count
deb,1,90,False,False,False
deb,0,130,False,False,False
deb,1,36,False,False,False
deb,1,92,False,False,False
deb,1,122,False,True,False
deb,1,60,False,False,False
deb,1,101,False,False,False
deb,1,106,False,False,False
deb,1,98,False,False,False
deb,0,44,False,False,False
deb,1,62,False,False,False
deb,1,79,False,False,False
deb,1,84,False,False,False
deb,1,98,False,False,False
deb,0,91,False,False,False
deb,1,72,False,False,False
deb,1,85,False,False,False
deb,1,88,False,False,False
deb,1,58,False,False,False
git,1,14,False,False,False
git,0,9,False,False,False
git,0,8,False,False,False
git,1,8,True,False,True
git,1,19,True,True,True
git,1,100,False,False,True
git,1,84,False,True,True
git,1,180,True,True,True
git,1,85,True,True,True
git,0,12,False,False,False
git,0,12,False,False,False
git,1,32,False,False,True
git,0,57,False,False,False
git,1,31,False,False,False
git,1,160,True,False,True
git,1,18,False,False,False
git,1,24,False,False,False
git,1,32,False,False,False
git,0,1,False,False,False
git,0,39,False,False,False
git,0,1,True,False,False
git,1,23,False,False,False
pypi,1,19,False,False,False
pypi,0,121,False,False,False
pypi,1,41,False,False,False
pypi,1,11,False,False,False
pypi,1,46,False,False,False
pypi,1,7,False,False,False
pypi,1,52,False,False,False
pypi,1,75,False,False,False
pypi,0,31,False,False,False
pypi,1,58,False,False,False
pypi,1,74,False,False,False
pypi,1,30,False,False,False
pypi,1,55,False,False,False
pypi,1,92,False,False,False
pypi,1,64,False,False,False
deb,1,90,False,False,False
deb,0,116,False,False,False
deb,1,95,False,True,False
deb,0,88,False,False,False
deb,1,76,False,False,False
deb,0,58,False,False,False
deb,1,88,False,False,False
deb,1,80,False,False,False
deb,1,41,False,False,False
deb,1,92,False,False,False
deb,1,85,False,False,False
deb,1,40,False,False,False
deb,1,63,False,False,False
deb,0,38,False,False,False
deb,1,67,False,False,False
deb,0,38,False,False,False
deb,1,60,False,False,False
deb,0,96,False,False,False
git,1,59,False,False,True
git,1,28,False,False,False
git,1,31,False,False,True
git,1,9,True,False,True
git,1,76,False,True,True
git,0,34,False,False,False
git,1,47,False,False,True
git,0,8,False,False,False
git,0,79,False,False,False
git,0,79,False,False,True
git,0,8,False,False,False
git,1,180,True,True,True
git,1,98,True,True,True
git,1,21,False,False,True
git,0,10,False,False,False
git,0,20,False,False,False
git,0,45,False,False,False
git,1,59,True,False,False
git,0,29,False,False,False
git,1,180,True,False,True
pypi,1,13,False,False,False
pypi,0,57,False,False,False
pypi,1,31,False,False,False
pypi,1,49,False,False,False
pypi,1,41,False,False,False
pypi,1,35,False,False,False
pypi,1,21,False,False,False
pypi,0,24,False,False,False
pypi,1,60,False,False,False
pypi,1,80,False,False,False
pypi,1,102,False,False,False
pypi,1,1,False,False,False
pypi,1,68,False,False,False
pypi,1,64,False,False,False
pypi,0,1,True,False,False
pypi,1,39,False,True,False
pypi,1,5,False,False,False
pypi,1,52,False,False,False
pypi,1,27,False,False,False
pypi,1,167,False,True,False
pypi,0,48,False,False,False
pypi,1,31,False,False,False
pypi,1,131,False,False,False
pypi,0,72,False,False,False
pypi,1,17,False,False,False
pypi,1,43,False,False,False
pypi,0,72,False,False,False
